"actor_movie_id","actor_id","movie_id"
"0","3","6493"
"1","6","759"
"2","9","9364"
"3","22","1809"
"4","25","5853"
"5","27","10514"
"6","39","1811"
"7","39","8033"
"8","40","285"
"9","45","8068"
"10","45","3947"
"11","46","3479"
"12","48","4179"
"13","48","1354"
"14","49","4244"
"15","55","759"
"16","56","13353"
"17","62","6251"
"18","65","6493"
"19","66","7266"
"20","73","865"
"21","73","12991"
"22","85","13830"
"23","85","3191"
"24","86","177"
"25","86","876"
"26","88","13830"
"27","101","2026"
"28","106","12366"
"29","107","2690"
"30","108","12129"
"31","108","8705"
"32","110","50"
"33","110","9409"
"34","124","5569"
"35","126","4379"
"36","126","3868"
"37","126","2600"
"38","132","11370"
"39","132","8859"
"40","139","10077"
"41","140","215"
"42","143","6481"
"43","143","1434"
"44","146","917"
"45","154","10700"
"46","166","10861"
"47","167","122"
"48","171","10673"
"49","175","12882"
"50","177","524"
"51","177","156"
"52","179","12207"
"53","187","3399"
"54","196","2654"
"55","199","1150"
"56","202","2422"
"57","202","6230"
"58","205","213"
"59","205","2422"
"60","206","12138"
"61","206","12364"
"62","206","10295"
"63","221","51"
"64","222","1270"
"65","238","6"
"66","249","3479"
"67","250","1777"
"68","254","11"
"69","258","274"
"70","265","279"
"71","288","3134"
"72","289","12642"
"73","297","7515"
"74","300","191"
"75","315","357"
"76","317","357"
"77","321","13539"
"78","332","12196"
"79","333","376"
"80","347","6631"
"81","350","403"
"82","355","8555"
"83","360","781"
"84","362","5353"
"85","371","13120"
"86","371","460"
"87","376","668"
"88","378","5574"
"89","389","6998"
"90","398","513"
"91","411","3366"
"92","411","11876"
"93","418","9525"
"94","430","8702"
"95","434","11569"
"96","441","1671"
"97","441","9225"
"98","447","7101"
"99","448","392"
"100","454","943"
"101","456","2400"
"102","459","3520"
"103","463","1459"
"104","483","3029"
"105","498","458"
"106","500","6838"
"107","536","1402"
"108","536","311"
"109","536","9658"
"110","538","12603"
"111","584","893"
"112","585","6997"
"113","585","10612"
"114","606","883"
"115","616","9549"
"116","629","3750"
"117","634","988"
"118","655","12017"
"119","686","6146"
"120","689","1065"
"121","692","13773"
"122","697","731"
"123","699","786"
"124","701","8724"
"125","702","731"
"126","716","1161"
"127","718","4379"
"128","721","1052"
"129","744","3123"
"130","751","2609"
"131","752","13353"
